"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"MF";"MPN";"PCBLABEL";"RATING";
"B2";"MCAT-4CU-C-PCB/BPL";"MCAT-4CU-C-PCB/BPL";"MCAT-4CU-C-BPL-V4-BLANK";"";"(c) 2015, The George Washington University. All Rights Reserved.";"";"";"BPL";"";
"CU-V2L1-1:BC3";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"AVX";"0612YC105KAT2A";"";"";
"CU-V2L1-1:BC4";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"AVX";"06123C104KAT2A";"";"";
"CU-V2L1-1:J7";"LATCH_NANO54415_MODULE";"LATCH_NANO54415_MODULE";"LATCH_SD-48099-400";"";"";"MOLEX";"SD-48099-400";"";"";
"CU-V2L1-1:J9";"CONN_NANO54415_MODULE";"CONN_NANO54415_MODULE";"CONN_SD-67910-001";"";"";"MOLEX";"SD-679101-002";"";"";
"CU-V2L1-1:OK1";"PS2801C-4";"PS2801C-4";"SSOP(16PIN)";"";"";"CEL/California Eastern Laboratories";"PS2801C-4-F3-A";"";"";
"CU-V2L1-1:R3";"560R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"PANASONIC";"ERA-6AEB561V";"";"";
"CU-V2L1-1:R4";"1K2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"PANASONIC";"ERA-6AEB122V";"";"";
"CU-V2L1-1:SJ3";"0R";"SJ";"SJ";"SMD solder JUMPER";"";"VISHAY/DALE";"CRCW08050000Z0EA";"";"";
"CU-V2L1-1:SW1";"SPST_TACT-EVQQ2";"SPST_TACT-EVQQ2";"EVQ-Q2";"SMT 6mm switch, EVQQ2 series";"";"PANASONIC";"EVQQ2H02W";"";"";
"CU-V2L1-1:TP1";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";"";
"F1";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";"";
"F2";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";"";
"F3";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";"";
"F4";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";"";
"F5";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";"";
"F6";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";"";
"J1";"MOLEX-502598-5193";"MOLEX-502598-5193";"MOLEX-502598-5193";"MOLEX 0.3MM PITCH FPC CONN MALE 51 CKTS";"";"MOLEX";"502598-5193";"";"";
"J2";"MOLEX-502598-5193";"MOLEX-502598-5193";"MOLEX-502598-5193";"MOLEX 0.3MM PITCH FPC CONN MALE 51 CKTS";"";"MOLEX";"502598-5193";"";"";
"PD-V2L1-1:BC1";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"AVX";"06123C104KAT2A";"";"";
"PD-V2L1-1:BC2";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"AVX";"0612YC105KAT2A";"";"";
"PD-V2L1-1:BC3";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"AVX";"0612YC105KAT2A";"";"";
"PD-V2L1-1:BC4";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"AVX";"06123C104KAT2A";"";"";
"PD-V2L1-1:OK2";"PS2801C-4";"PS2801C-4";"SSOP(16PIN)";"";"";"CEL/California Eastern Laboratories";"PS2801C-4-F3-A";"";"";
"PD-V2L1-1:OK3";"PS2801C-4";"PS2801C-4";"SSOP(16PIN)";"";"";"CEL/California Eastern Laboratories";"PS2801C-4-F3-A";"";"";
"PD-V2L1-1:Q1";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"VISHAY/SILICONIX";"SI5404BDC-T1-E3";"";"";
"PD-V2L1-1:Q2";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"VISHAY/SILICONIX";"SI5404BDC-T1-E3";"";"";
"PD-V2L1-1:Q3";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"VISHAY/SILICONIX";"SI5404BDC-T1-E3";"";"";
"PD-V2L1-1:Q4";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"VISHAY/SILICONIX";"SI5404BDC-T1-E3";"";"";
"PD-V2L1-1:Q5";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"VISHAY/SILICONIX";"SI5404BDC-T1-E3";"";"";
"PD-V2L1-1:Q6";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"VISHAY/SILICONIX";"SI5404BDC-T1-E3";"";"";
"PD-V2L1-1:Q7";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"VISHAY/SILICONIX";"SI5404BDC-T1-E3";"";"";
"PD-V2L1-1:Q8";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"VISHAY/SILICONIX";"SI5404BDC-T1-E3";"";"";
"PD-V2L1-1:R7";"5K42";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"KOA Speer";"RN73H1ETTP5421B10";"";"";
"PD-V2L1-1:R8";"5K42";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"KOA Speer";"RN73H1ETTP5421B10";"";"";
"PD-V2L1-1:R9";"5K42";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"KOA Speer";"RN73H1ETTP5421B10";"";"";
"PD-V2L1-1:R10";"5K42";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"KOA Speer";"RN73H1ETTP5421B10";"";"";
"PD-V2L1-1:R11";"5K42";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"KOA Speer";"RN73H1ETTP5421B10";"";"";
"PD-V2L1-1:R12";"5K42";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"KOA Speer";"RN73H1ETTP5421B10";"";"";
"PD-V2L1-1:R13";"5K42";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"KOA Speer";"RN73H1ETTP5421B10";"";"";
"PD-V2L1-1:R14";"5K42%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"KOA Speer";"RN73H1ETTP5421B10";"";"";
"PD-V2L1-1:R15";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"YAGEO";"RT0402BRD07100KL";"";"";
"PD-V2L1-1:R16";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"YAGEO";"RT0402BRD07100KL";"";"";
"PD-V2L1-1:R17";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"YAGEO";"RT0402BRD07100KL";"";"";
"PD-V2L1-1:R18";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"YAGEO";"RT0402BRD07100KL";"";"";
"PD-V2L1-1:R19";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"YAGEO";"RT0402BRD07100KL";"";"";
"PD-V2L1-1:R20";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"YAGEO";"RT0402BRD07100KL";"";"";
"PD-V2L1-1:R21";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"YAGEO";"RT0402BRD07100KL";"";"";
"PD-V2L1-1:R22";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"YAGEO";"RT0402BRD07100KL";"";"";
"PD-V2L1-1:R23";"51k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"SUSUMU";"RG1005N-513-B-T5";"";"";
"PD-V2L1-1:R24";"51k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"SUSUMU";"RG1005N-513-B-T5";"";"";
"PD-V2L1-1:R25";"51k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"SUSUMU";"RG1005N-513-B-T5";"";"";
"PD-V2L1-1:R26";"51k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"SUSUMU";"RG1005N-513-B-T5";"";"";
"PD-V2L1-1:R27";"51k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"SUSUMU";"RG1005N-513-B-T5";"";"";
"PD-V2L1-1:R28";"51k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"SUSUMU";"RG1005N-513-B-T5";"";"";
"PD-V2L1-1:R29";"51k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"SUSUMU";"RG1005N-513-B-T5";"";"";
"PD-V2L1-1:R30";"51k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"SUSUMU";"RG1005N-513-B-T5";"";"";
"PD-V2L1-1:R31";"0.1R";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"SUSUMU";"PRL1632-R100-F-T1";"";"1W";
"PD-V2L1-1:R32";"0.1R";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"SUSUMU";"PRL1632-R100-F-T1";"";"1W";
"PD-V2L1-1:R33";"0.1R";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"SUSUMU";"PRL1632-R100-F-T1";"";"1W";
"PD-V2L1-1:R34";"0.1R";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"SUSUMU";"PRL1632-R100-F-T1";"";"1W";
"PD-V2L1-1:U3";"LT1161ISW";"LT1161ISW";"20-LEAD-PLASTIC-SO";"";"";"LINEAR";"LT1161ISW#TRPBF";"";"";
"PD-V2L1-1:U4";"LT1161ISW";"LT1161ISW";"20-LEAD-PLASTIC-SO";"";"";"LINEAR";"LT1161ISW#TRPBF";"";"";
"PPU-V8C1-1:BC1";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"AVX";"06123C104KAT2A";"";"";
"PPU-V8C1-1:BC2";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"AVX";"0612YC105KAT2A";"";"";
"PPU-V8C1-1:BC3";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"AVX";"06123C104KAT2A";"";"";
"PPU-V8C1-1:BC4";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"AVX";"0612YC105KAT2A";"";"";
"PPU-V8C1-1:C1";"680uF/20WV";"APSG200ELL681MJB5S";"CHEMI-CON-PSG-JB5";"";"";"United Chemi-Con";"APSG200ELL681MJB5S";"";"";
"PPU-V8C1-1:CT1";"MURATA-5600-CURR-XFR/RA";"MURATA-5600-CURR-XFR/RA";"MURATA-5600-SERIES-CURR-XFR-RA";"";"";"MURATA";"56050C";"";"";
"PPU-V8C1-1:L1";"PPUV8-INDUCTOR-V2";"PPUV8-INDUCTOR-V2";"PPUV8-INDUCTOR-V2";"GWU MpNL Custom Wound Inductor for PPUV8";"";"Magnetics";"59312-A2";"";"";
"PPU-V8C1-1:Q11";"IXYH30N120C3D1";"IXYH30N120C3D1/V";"IXYS-TO-247-AD-VERT";"";"";"IXYS";"IXYH30N120C3D1";"";"";
"PPU-V8C1-1:R1";"15R";"R-US_R1210";"R1210";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW121015R0FKEAHP";"";"";
"PPU-V8C1-1:R2";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY";"PAT0805E1001BST1";"";"";
"PPU-V8C1-1:SJ1";"0R";"SJ";"SJ";"SMD solder JUMPER";"";"VISHAY/DALE";"CRCW08050000Z0EA";"";"";
"PPU-V8C1-1:T1";"MCAT-SPADE-TERMINAL";"MCAT-SPADE-TERMINAL";"SPADE-TERMINAL-FLANGED-NYLON-INSULATED";"";"";"HARWIN";"S4011-46";"";"";
"PPU-V8C1-1:TP1";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";"";
"PPU-V8C1-1:TP2";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";"";
"PPU-V8C1-1:TP3";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";"";
"PPU-V8C1-1:U$1";"IXDN604/SI";"IXDN604/SI";"IXYS-SI-8PIN-POWER-SOIC";"";"";"IXYS";"IXDN604SI ";"";"";
"PPU-V8C1-3:BC1";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"AVX";"06123C104KAT2A";"";"";
"PPU-V8C1-3:BC2";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"AVX";"0612YC105KAT2A";"";"";
"PPU-V8C1-3:BC3";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"AVX";"06123C104KAT2A";"";"";
"PPU-V8C1-3:BC4";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"AVX";"0612YC105KAT2A";"";"";
"PPU-V8C1-3:C1";"680uF/20WV";"APSG200ELL681MJB5S";"CHEMI-CON-PSG-JB5";"";"";"United Chemi-Con";"APSG200ELL681MJB5S";"";"";
"PPU-V8C1-3:CT1";"MURATA-5600-CURR-XFR/RA";"MURATA-5600-CURR-XFR/RA";"MURATA-5600-SERIES-CURR-XFR-RA";"";"";"MURATA";"56050C";"";"";
"PPU-V8C1-3:L1";"PPUV8-INDUCTOR-V2";"PPUV8-INDUCTOR-V2";"PPUV8-INDUCTOR-V2";"GWU MpNL Custom Wound Inductor for PPUV8";"";"Magnetics";"59312-A2";"";"";
"PPU-V8C1-3:Q11";"IXYH30N120C3D1";"IXYH30N120C3D1/V";"IXYS-TO-247-AD-VERT";"";"";"IXYS";"IXYH30N120C3D1";"";"";
"PPU-V8C1-3:R1";"15R";"R-US_R1210";"R1210";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW121015R0FKEAHP";"";"";
"PPU-V8C1-3:R2";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY";"PAT0805E1001BST1";"";"";
"PPU-V8C1-3:SJ1";"0R";"SJ";"SJ";"SMD solder JUMPER";"";"VISHAY/DALE";"CRCW08050000Z0EA";"";"";
"PPU-V8C1-3:T1";"MCAT-SPADE-TERMINAL";"MCAT-SPADE-TERMINAL";"SPADE-TERMINAL-FLANGED-NYLON-INSULATED";"";"";"HARWIN";"S4011-46";"";"";
"PPU-V8C1-3:TP1";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";"";
"PPU-V8C1-3:TP2";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";"";
"PPU-V8C1-3:TP3";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";"";
"PPU-V8C1-3:U$1";"IXDN604/SI";"IXDN604/SI";"IXYS-SI-8PIN-POWER-SOIC";"";"";"IXYS";"IXDN604SI ";"";"";
