"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"MF";"MPN";"PCBLABEL";"RATING";
"4";"0.1R";"R-US_R1206";"R1206";"PD-V2L1-1:R31, PD-V2L1-1:R32, PD-V2L1-1:R33, PD-V2L1-1:R34";"RESISTOR, American symbol";"";"SUSUMU";"PRL1632-R100-F-T1";"";"1W";
"3";"0R";"SJ";"SJ";"CU-V2L1-1:SJ3, PPU-V8C1-1:SJ1, PPU-V8C1-3:SJ1";"SMD solder JUMPER";"";"VISHAY/DALE";"CRCW08050000Z0EA";"";"";
"8";"100k";"R-US_R0402";"R0402";"PD-V2L1-1:R15, PD-V2L1-1:R16, PD-V2L1-1:R17, PD-V2L1-1:R18, PD-V2L1-1:R19, PD-V2L1-1:R20, PD-V2L1-1:R21, PD-V2L1-1:R22";"RESISTOR, American symbol";"";"YAGEO";"RT0402BRD07100KL";"";"";
"2";"15R";"R-US_R1210";"R1210";"PPU-V8C1-1:R1, PPU-V8C1-3:R1";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW121015R0FKEAHP";"";"";
"2";"1K";"R-US_R0805";"R0805";"PPU-V8C1-1:R2, PPU-V8C1-3:R2";"RESISTOR, American symbol";"";"VISHAY";"PAT0805E1001BST1";"";"";
"1";"1K2";"R-US_R0805";"R0805";"CU-V2L1-1:R4";"RESISTOR, American symbol";"";"PANASONIC";"ERA-6AEB122V";"";"";
"8";"51k";"R-US_R0402";"R0402";"PD-V2L1-1:R23, PD-V2L1-1:R24, PD-V2L1-1:R25, PD-V2L1-1:R26, PD-V2L1-1:R27, PD-V2L1-1:R28, PD-V2L1-1:R29, PD-V2L1-1:R30";"RESISTOR, American symbol";"";"SUSUMU";"RG1005N-513-B-T5";"";"";
"1";"560R";"R-US_R0805";"R0805";"CU-V2L1-1:R3";"RESISTOR, American symbol";"";"PANASONIC";"ERA-6AEB561V";"";"";
"7";"5K42";"R-US_R0402";"R0402";"PD-V2L1-1:R7, PD-V2L1-1:R8, PD-V2L1-1:R9, PD-V2L1-1:R10, PD-V2L1-1:R11, PD-V2L1-1:R12, PD-V2L1-1:R13";"RESISTOR, American symbol";"";"KOA Speer";"RN73H1ETTP5421B10";"";"";
"1";"5K42%";"R-US_R0402";"R0402";"PD-V2L1-1:R14";"RESISTOR, American symbol";"";"KOA Speer";"RN73H1ETTP5421B10";"";"";
"2";"680uF/20WV";"APSG200ELL681MJB5S";"CHEMI-CON-PSG-JB5";"PPU-V8C1-1:C1, PPU-V8C1-3:C1";"";"";"United Chemi-Con";"APSG200ELL681MJB5S";"";"";
"7";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"CU-V2L1-1:BC4, PD-V2L1-1:BC1, PD-V2L1-1:BC4, PPU-V8C1-1:BC1, PPU-V8C1-1:BC3, PPU-V8C1-3:BC1, PPU-V8C1-3:BC3";"";"";"AVX";"06123C104KAT2A";"";"";
"7";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"CU-V2L1-1:BC3, PD-V2L1-1:BC2, PD-V2L1-1:BC3, PPU-V8C1-1:BC2, PPU-V8C1-1:BC4, PPU-V8C1-3:BC2, PPU-V8C1-3:BC4";"";"";"AVX";"0612YC105KAT2A";"";"";
"1";"CONN_NANO54415_MODULE";"CONN_NANO54415_MODULE";"CONN_SD-67910-001";"CU-V2L1-1:J9";"";"";"MOLEX";"SD-679101-002";"";"";
"2";"IXDN604/SI";"IXDN604/SI";"IXYS-SI-8PIN-POWER-SOIC";"PPU-V8C1-1:U$1, PPU-V8C1-3:U$1";"";"";"IXYS";"IXDN604SI ";"";"";
"2";"IXYH30N120C3D1";"IXYH30N120C3D1/V";"IXYS-TO-247-AD-VERT";"PPU-V8C1-1:Q11, PPU-V8C1-3:Q11";"";"";"IXYS";"IXYH30N120C3D1";"";"";
"1";"LATCH_NANO54415_MODULE";"LATCH_NANO54415_MODULE";"LATCH_SD-48099-400";"CU-V2L1-1:J7";"";"";"MOLEX";"SD-48099-400";"";"";
"2";"LT1161ISW";"LT1161ISW";"20-LEAD-PLASTIC-SO";"PD-V2L1-1:U3, PD-V2L1-1:U4";"";"";"LINEAR";"LT1161ISW#TRPBF";"";"";
"1";"MCAT-4CU-C-PCB/BPL";"MCAT-4CU-C-PCB/BPL";"MCAT-4CU-C-BPL-V4-BLANK";"B2";"";"(c) 2015, The George Washington University. All Rights Reserved.";"";"";"BPL";"";
"2";"MCAT-SPADE-TERMINAL";"MCAT-SPADE-TERMINAL";"SPADE-TERMINAL-FLANGED-NYLON-INSULATED";"PPU-V8C1-1:T1, PPU-V8C1-3:T1";"";"";"HARWIN";"S4011-46";"";"";
"2";"MOLEX-502598-5193";"MOLEX-502598-5193";"MOLEX-502598-5193";"J1, J2";"MOLEX 0.3MM PITCH FPC CONN MALE 51 CKTS";"";"MOLEX";"502598-5193";"";"";
"2";"MURATA-5600-CURR-XFR/RA";"MURATA-5600-CURR-XFR/RA";"MURATA-5600-SERIES-CURR-XFR-RA";"PPU-V8C1-1:CT1, PPU-V8C1-3:CT1";"";"";"MURATA";"56050C";"";"";
"7";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"CU-V2L1-1:TP1, PPU-V8C1-1:TP1, PPU-V8C1-1:TP2, PPU-V8C1-1:TP3, PPU-V8C1-3:TP1, PPU-V8C1-3:TP2, PPU-V8C1-3:TP3";"";"";"Keystone Electronics";"5015";"";"";
"2";"PPUV8-INDUCTOR-V2";"PPUV8-INDUCTOR-V2";"PPUV8-INDUCTOR-V2";"PPU-V8C1-1:L1, PPU-V8C1-3:L1";"GWU MpNL Custom Wound Inductor for PPUV8";"";"Magnetics";"59312-A2";"";"";
"3";"PS2801C-4";"PS2801C-4";"SSOP(16PIN)";"CU-V2L1-1:OK1, PD-V2L1-1:OK2, PD-V2L1-1:OK3";"";"";"CEL/California Eastern Laboratories";"PS2801C-4-F3-A";"";"";
"8";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"PD-V2L1-1:Q1, PD-V2L1-1:Q2, PD-V2L1-1:Q3, PD-V2L1-1:Q4, PD-V2L1-1:Q5, PD-V2L1-1:Q6, PD-V2L1-1:Q7, PD-V2L1-1:Q8";"";"";"VISHAY/SILICONIX";"SI5404BDC-T1-E3";"";"";
"6";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"F1, F2, F3, F4, F5, F6";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";"";
"1";"SPST_TACT-EVQQ2";"SPST_TACT-EVQQ2";"EVQ-Q2";"CU-V2L1-1:SW1";"SMT 6mm switch, EVQQ2 series";"";"PANASONIC";"EVQQ2H02W";"";"";
