"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"PCBLABEL";"VENDOR";
"B8";"MCAT-4CU-C-PCB/TOP";"MCAT-4CU-C-PCB/TOP";"MCAT-4CU-C-TOP-V4-BLANK";"";"(c) 2015, The George Washington University. All Rights Reserved";"";"";"";"";"TOP";"";
"CT-V2L1-1:BC3";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"";"AVX";"0612YC105KAT2A";"";"";"";
"CT-V2L1-1:BC4";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"";"AVX";"06123C104KAT2A";"";"";"";
"CT-V2L1-1:BC5";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"";"AVX";"0612YC105KAT2A";"";"";"";
"CT-V2L1-1:BC6";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"";"AVX";"06123C104KAT2A";"";"";"";
"CT-V2L1-1:J7";"MOLEX-78171-5007";"MOLEX-78171-5007";"MOLEX-78171-5007";"";"";"";"MOLEX";"78171-5007";"";"";"";
"CT-V2L1-1:JMP1";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"SMD 0R 0805 Jumper";"";"";"Vishay/Dale";"CRCW08050000Z0EA";"";"";"";
"CT-V2L1-1:R1";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"PANASONIC";"ERA-2AEB103X";"";"";"";
"CT-V2L1-1:R2";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"PANASONIC";"ERA-2AEB103X";"";"";"";
"CT-V2L1-1:R3";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"PANASONIC";"ERA-2AEB103X";"";"";"";
"CT-V2L1-1:U1";"PCA9512ADP";"PCA9512ADP";"SOT505-1";"";"";"PCA9512ADP";"";"";"";"";"NXP";
"F4";"SMTRAM2-6-5";"SMTRAM2-6-5";"SMTRA-M2-6-5";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"";"Penn Engineering";"SMTRAM2-6-5-DT";"";"";"";
"F5";"SMTRAM2-6-5";"SMTRAM2-6-5";"SMTRA-M2-6-5";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"";"Penn Engineering";"SMTRAM2-6-5-DT";"";"";"";
"F6";"SMTRAM2-6-5";"SMTRAM2-6-5";"SMTRA-M2-6-5";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"";"Penn Engineering";"SMTRAM2-6-5-DT";"";"";"";
"F7";"SMTRAM2-6-5";"SMTRAM2-6-5";"SMTRA-M2-6-5";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"";"Penn Engineering";"SMTRAM2-6-5-DT";"";"";"";
"GBUS-TOP1:G1";"HIROSE-FH40-60S-0.5SV";"HIROSE-FH40-60S-0.5SV";"HIROSE-FH40-60S-0.5SV";"";"";"";"HIROSE/HRS";"FH40-60S-0.5SV";"";"G1";"";
"GBUS-TOP1:G2";"HIROSE-FH40-60S-0.5SV";"HIROSE-FH40-60S-0.5SV";"HIROSE-FH40-60S-0.5SV";"";"";"";"HIROSE/HRS";"FH40-60S-0.5SV";"";"G2";"";
"GBUS-TOP1:H1";"H1-H5-INBOARD-CSK-BUS-CONN";"H1-H5-INBOARD-CSK-BUS-CONN";"CONN-2X26X0.1-HDR";"H1/H5/Inboard Cubesat Kit Bus Connector";"";"";"SAMTEC";"ESQ-126-37-G-D";"";"H1";"";
"GBUS-TOP1:H2";"H2-H6-OUTBOARD-CSK-BUS-CONN";"H2-H6-OUTBOARD-CSK-BUS-CONN";"CONN-2X26X0.1-HDR";"";"";"";"SAMTEC";"ESQ-126-37-G-D";"";"H2";"";
"J2";"MOLEX-502598-5193";"MOLEX-502598-5193";"MOLEX-502598-5193";"MOLEX 0.3MM PITCH FPC CONN MALE 51 CKTS";"";"";"MOLEX";"502598-5193";"";"";"";
"PM-V2L2-1:BC1";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"";"AVX";"06123C104KAT2A";"";"";"";
"PM-V2L2-1:BC2";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"";"AVX";"0612YC105KAT2A";"";"";"";
"PM-V2L2-1:BC3";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"";"AVX";"06123C104KAT2A";"";"";"";
"PM-V2L2-1:BC4";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"";"AVX";"0612YC105KAT2A";"";"";"";
"PM-V2L2-1:C1";"68uF";"OSCON-50SVPF68M";"OS-CON-SVPF-F12";"";"";"";"OSCON";"50SVPF68M";"";"";"";
"PM-V2L2-1:C2";"4.7uF";"AVX-LD105C475KAB2A";"MLCC-X7R-1210";"";"";"";"AVX";"LD105C475KAB2A";"";"";"";
"PM-V2L2-1:C3";"10uF";"C-USC1210K";"C1210K";"CAPACITOR, American symbol";"";"";"MURATA";"GRM32ER71H106KA12L";"";"";"";
"PM-V2L2-1:C4";"10uF";"C-USC1210K";"C1210K";"CAPACITOR, American symbol";"";"";"MURATA";"GRM32ER71H106KA12L";"";"";"";
"PM-V2L2-1:C5";"68uF";"OSCON-50SVPF68M";"OS-CON-SVPF-F12";"";"";"";"OSCON";"50SVPF68M";"";"";"";
"PM-V2L2-1:C6";"10u";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"AVX";"TCJT106M016R0200";"";"";"";
"PM-V2L2-1:C7";"10u";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"TDK";"C3216X7R1C106K160AC";"";"";"";
"PM-V2L2-1:C8";"10n";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"VISHAY/VITRAMON";"VJ0402Y103JXJPW1BC";"";"";"";
"PM-V2L2-1:C9";"3.3u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"TDK";"C2012X7R1C335K125AB";"";"";"";
"PM-V2L2-1:C10";"10n";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"VISHAY/VITRAMON";"VJ0402Y103JXJPW1BC";"";"";"";
"PM-V2L2-1:L1";"33uH";"MSS1048";"MSS1048";"";"";"";"COILCRAFT";"MSS1048T-333ML_ ";"";"";"";
"PM-V2L2-1:L2";"68uH";"MSS1048";"MSS1048";"";"";"";"COILCRAFT";"MSS1048T-672NL_";"";"";"";
"PM-V2L2-1:L3";"10uH";"ELL-5PS100M";"SERIES-POWER-INDUCTORS";"";"";"";"PANASONIC";"ELL5PS100M";"1717452";"";"";
"PM-V2L2-1:R1";"2K";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"KOA SPEER";"RN731ETTP2001B25";"";"";"";
"PM-V2L2-1:R2";"1K";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"KOA SPEER";"RN73H1ETTP1001B25";"";"";"";
"PM-V2L2-1:R3";"27mOhms";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"VISHAY";"WSLP0805R0270FEA";"";"";"";
"PM-V2L2-1:R4";"4k70.1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"TE Connectivity/Holsworthy";"RN73C1J4K64BTDG";"";"";"";
"PM-V2L2-1:R5";"1M";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"VISHAY/BEYSCHLAG";"MCS04020C1004FE000";"";"";"";
"PM-V2L2-1:R6";"1M";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"VISHAY/BEYSCHLAG";"MCS04020C1004FE000";"";"";"";
"PM-V2L2-1:R7";"357K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"IRC / TT Electronics";"PCF-W1206LF-12-3573-B-P-LT";"";"";"";
"PM-V2L2-1:R8";"210K";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"Vishay / Dale";"CRCW0402210KFKED";"";"";"";
"PM-V2L2-1:R9";"619K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"Welwyn Components / TT Electronics";"PCF0805R-619KBT1";"";"";"";
"PM-V2L2-1:R10";"200K";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"Vishay / Dale";"CRCW0402200KFKED";"";"";"";
"PM-V2L2-1:SJ3";"0R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"YAGEO";"AF0805JR-070RL";"";"";"";
"PM-V2L2-1:SJ4";"0R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"YAGEO";"AF0805JR-070RL";"";"";"";
"PM-V2L2-1:SJ6";"0R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"YAGEO";"AF0805JR-070RL";"";"";"";
"PM-V2L2-1:TP1";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"";"Keystone Electronics";"5015";"";"";"";
"PM-V2L2-1:TP2";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"";"Keystone Electronics";"5015";"";"";"";
"PM-V2L2-1:TP4";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"";"Keystone Electronics";"5015";"";"";"";
"PM-V2L2-1:U1";"LTM4609MPV#PBF";"LTM4609MPV#PBFROHS/HITEMP";"LGA-141-LTC-05-08-1840-B";"Per LTC Datasheet 4609fe LTM4609 (c) Samudra Haque, N3RDX, 2/23/2014";"";"";"Linear";"LTM4609MPV#PBF";"";"";"";
"PM-V2L2-1:U2";"LT3030MPFE#PBF";"LT3030MPFE#PBF";"TSSOP20-FE-CB";"";"";"";"LINEAR";"LT3030MPFE#TRPBF";"";"";"";
