"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"PCBLABEL";"VENDOR";
"3";"0R";"R-US_R0805";"R0805";"PM-V2L2-1:SJ3, PM-V2L2-1:SJ4, PM-V2L2-1:SJ6";"RESISTOR, American symbol";"";"";"YAGEO";"AF0805JR-070RL";"";"";"";
"1";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"CT-V2L1-1:JMP1";"SMD 0R 0805 Jumper";"";"";"Vishay/Dale";"CRCW08050000Z0EA";"";"";"";
"3";"10k";"R-US_R0402";"R0402";"CT-V2L1-1:R1, CT-V2L1-1:R2, CT-V2L1-1:R3";"RESISTOR, American symbol";"";"";"PANASONIC";"ERA-2AEB103X";"";"";"";
"2";"10n";"C-USC0402";"C0402";"PM-V2L2-1:C8, PM-V2L2-1:C10";"CAPACITOR, American symbol";"";"";"VISHAY/VITRAMON";"VJ0402Y103JXJPW1BC";"";"";"";
"1";"10u";"C-USC1206";"C1206";"PM-V2L2-1:C7";"CAPACITOR, American symbol";"";"";"TDK";"C3216X7R1C106K160AC";"";"";"";
"1";"10u";"C-USC1210";"C1210";"PM-V2L2-1:C6";"CAPACITOR, American symbol";"";"";"AVX";"TCJT106M016R0200";"";"";"";
"2";"10uF";"C-USC1210K";"C1210K";"PM-V2L2-1:C3, PM-V2L2-1:C4";"CAPACITOR, American symbol";"";"";"MURATA";"GRM32ER71H106KA12L";"";"";"";
"1";"10uH";"ELL-5PS100M";"SERIES-POWER-INDUCTORS";"PM-V2L2-1:L3";"";"";"";"PANASONIC";"ELL5PS100M";"1717452";"";"";
"1";"1K";"R-US_R0402";"R0402";"PM-V2L2-1:R2";"RESISTOR, American symbol";"";"";"KOA SPEER";"RN73H1ETTP1001B25";"";"";"";
"2";"1M";"R-US_R0402";"R0402";"PM-V2L2-1:R5, PM-V2L2-1:R6";"RESISTOR, American symbol";"";"";"VISHAY/BEYSCHLAG";"MCS04020C1004FE000";"";"";"";
"1";"200K";"R-US_R0402";"R0402";"PM-V2L2-1:R10";"RESISTOR, American symbol";"";"";"Vishay / Dale";"CRCW0402200KFKED";"";"";"";
"1";"210K";"R-US_R0402";"R0402";"PM-V2L2-1:R8";"RESISTOR, American symbol";"";"";"Vishay / Dale";"CRCW0402210KFKED";"";"";"";
"1";"27mOhms";"R-US_R0805";"R0805";"PM-V2L2-1:R3";"RESISTOR, American symbol";"";"";"VISHAY";"WSLP0805R0270FEA";"";"";"";
"1";"2K";"R-US_R0402";"R0402";"PM-V2L2-1:R1";"RESISTOR, American symbol";"";"";"KOA SPEER";"RN731ETTP2001B25";"";"";"";
"1";"3.3u";"C-USC0805";"C0805";"PM-V2L2-1:C9";"CAPACITOR, American symbol";"";"";"TDK";"C2012X7R1C335K125AB";"";"";"";
"1";"33uH";"MSS1048";"MSS1048";"PM-V2L2-1:L1";"";"";"";"COILCRAFT";"MSS1048T-333ML_ ";"";"";"";
"1";"357K";"R-US_R1206";"R1206";"PM-V2L2-1:R7";"RESISTOR, American symbol";"";"";"IRC / TT Electronics";"PCF-W1206LF-12-3573-B-P-LT";"";"";"";
"1";"4.7uF";"AVX-LD105C475KAB2A";"MLCC-X7R-1210";"PM-V2L2-1:C2";"";"";"";"AVX";"LD105C475KAB2A";"";"";"";
"1";"4k70.1%";"R-US_R0603";"R0603";"PM-V2L2-1:R4";"RESISTOR, American symbol";"";"";"TE Connectivity/Holsworthy";"RN73C1J4K64BTDG";"";"";"";
"1";"619K";"R-US_R0805";"R0805";"PM-V2L2-1:R9";"RESISTOR, American symbol";"";"";"Welwyn Components / TT Electronics";"PCF0805R-619KBT1";"";"";"";
"2";"68uF";"OSCON-50SVPF68M";"OS-CON-SVPF-F12";"PM-V2L2-1:C1, PM-V2L2-1:C5";"";"";"";"OSCON";"50SVPF68M";"";"";"";
"1";"68uH";"MSS1048";"MSS1048";"PM-V2L2-1:L2";"";"";"";"COILCRAFT";"MSS1048T-672NL_";"";"";"";
"4";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"CT-V2L1-1:BC4, CT-V2L1-1:BC6, PM-V2L2-1:BC1, PM-V2L2-1:BC3";"";"";"";"AVX";"06123C104KAT2A";"";"";"";
"4";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"CT-V2L1-1:BC3, CT-V2L1-1:BC5, PM-V2L2-1:BC2, PM-V2L2-1:BC4";"";"";"";"AVX";"0612YC105KAT2A";"";"";"";
"1";"H1-H5-INBOARD-CSK-BUS-CONN";"H1-H5-INBOARD-CSK-BUS-CONN";"CONN-2X26X0.1-HDR";"GBUS-TOP1:H1";"H1/H5/Inboard Cubesat Kit Bus Connector";"";"";"SAMTEC";"ESQ-126-37-G-D";"";"H1";"";
"1";"H2-H6-OUTBOARD-CSK-BUS-CONN";"H2-H6-OUTBOARD-CSK-BUS-CONN";"CONN-2X26X0.1-HDR";"GBUS-TOP1:H2";"";"";"";"SAMTEC";"ESQ-126-37-G-D";"";"H2";"";
"1";"HIROSE-FH40-60S-0.5SV";"HIROSE-FH40-60S-0.5SV";"HIROSE-FH40-60S-0.5SV";"GBUS-TOP1:G1";"";"";"";"HIROSE/HRS";"FH40-60S-0.5SV";"";"G1";"";
"1";"HIROSE-FH40-60S-0.5SV";"HIROSE-FH40-60S-0.5SV";"HIROSE-FH40-60S-0.5SV";"GBUS-TOP1:G2";"";"";"";"HIROSE/HRS";"FH40-60S-0.5SV";"";"G2";"";
"1";"LT3030MPFE#PBF";"LT3030MPFE#PBF";"TSSOP20-FE-CB";"PM-V2L2-1:U2";"";"";"";"LINEAR";"LT3030MPFE#TRPBF";"";"";"";
"1";"LTM4609MPV#PBF";"LTM4609MPV#PBFROHS/HITEMP";"LGA-141-LTC-05-08-1840-B";"PM-V2L2-1:U1";"Per LTC Datasheet 4609fe LTM4609 (c) Samudra Haque, N3RDX, 2/23/2014";"";"";"Linear";"LTM4609MPV#PBF";"";"";"";
"1";"MCAT-4CU-C-PCB/TOP";"MCAT-4CU-C-PCB/TOP";"MCAT-4CU-C-TOP-V4-BLANK";"B8";"";"(c) 2015, The George Washington University. All Rights Reserved";"";"";"";"";"TOP";"";
"1";"MOLEX-502598-5193";"MOLEX-502598-5193";"MOLEX-502598-5193";"J2";"MOLEX 0.3MM PITCH FPC CONN MALE 51 CKTS";"";"";"MOLEX";"502598-5193";"";"";"";
"1";"MOLEX-78171-5007";"MOLEX-78171-5007";"MOLEX-78171-5007";"CT-V2L1-1:J7";"";"";"";"MOLEX";"78171-5007";"";"";"";
"1";"PCA9512ADP";"PCA9512ADP";"SOT505-1";"CT-V2L1-1:U1";"";"";"PCA9512ADP";"";"";"";"";"NXP";
"3";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"PM-V2L2-1:TP1, PM-V2L2-1:TP2, PM-V2L2-1:TP4";"";"";"";"Keystone Electronics";"5015";"";"";"";
"4";"SMTRAM2-6-5";"SMTRAM2-6-5";"SMTRA-M2-6-5";"F4, F5, F6, F7";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"";"Penn Engineering";"SMTRAM2-6-5-DT";"";"";"";
